[Thu Apr 08 10:41:42 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 10:41:42 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 10:41:42 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Thu Apr 08 10:41:43 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Thu Apr 08 10:41:43 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Apr 08 10:41:46 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 10:41:46 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 10:41:46 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Thu Apr 08 10:41:46 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Thu Apr 08 10:41:46 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Apr 08 10:42:01 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 10:42:01 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 10:42:01 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Thu Apr 08 10:42:01 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Thu Apr 08 10:42:01 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Apr 08 10:42:05 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 10:42:05 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 10:42:05 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Thu Apr 08 10:42:05 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Thu Apr 08 10:42:05 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Apr 08 10:42:21 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 10:42:21 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 10:42:21 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Thu Apr 08 10:42:21 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Thu Apr 08 10:42:21 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Apr 08 11:17:26 2021] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Thu Apr 08 11:17:26 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Thu Apr 08 11:17:26 2021] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
