[Mon Jun 03 11:11:15 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:11:15 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:11:15 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:11:24 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:11:24 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:11:24 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:11:24 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:11:24 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:11:52 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:11:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:11:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:11:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:11:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:11:55 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:11:55 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:11:55 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:11:55 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:11:55 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:11:59 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:11:59 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:11:59 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:11:59 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:11:59 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:13:11 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Mon Jun 03 11:18:37 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:18:37 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:18:37 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:18:37 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:18:37 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Mon Jun 03 11:18:40 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Mon Jun 03 11:18:40 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Mon Jun 03 11:18:40 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Mon Jun 03 11:18:40 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Mon Jun 03 11:18:40 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
