[Wed Mar 04 09:09:17 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:13:23 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:13:23 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:13:23 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:13:50 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:13:50 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:13:50 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:13:50 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:13:50 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:13:58 2020] [ERROR] [Base_Controller->rlog_error] -> Sorry, but your email is already registered with our system. Please use another email and try again., FILE: C:\www\application\modules\sysad\controllers\Users.php, LINE: 289
[Wed Mar 04 09:14:08 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:14:08 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:14:08 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:14:08 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:14:08 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:14:12 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:14:12 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:14:12 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:14:12 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:14:12 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:14:30 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:14:30 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:14:30 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:14:30 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:14:30 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:14:53 2020] [ERROR] [Base_Controller->rlog_error] -> Sorry, but your email is already registered with our system. Please use another email and try again., FILE: C:\www\application\modules\sysad\controllers\Users.php, LINE: 289
[Wed Mar 04 09:15:04 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:15:04 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:15:04 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:15:04 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:15:04 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 09:15:32 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 09:15:32 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 09:15:32 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 09:15:32 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 09:15:32 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 11:43:29 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 11:43:29 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 11:43:29 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 11:43:29 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 11:43:29 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 11:44:26 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 11:44:26 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 11:44:26 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 11:44:26 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 11:44:26 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:11:56 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:11:56 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:11:56 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:11:56 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:11:56 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:11:58 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:11:58 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:11:58 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:11:58 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:11:58 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:12:28 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:12:28 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:12:28 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:12:28 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:12:28 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:14 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:17 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:18 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:21 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:24 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\core\Base_Model.php, LINE: 185
[Wed Mar 04 12:14:27 2020] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'roles' in 'order clause', FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 57
[Wed Mar 04 12:14:31 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:31 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:31 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:31 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:31 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:42 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Wed Mar 04 12:14:42 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Wed Mar 04 12:14:42 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 442
[Wed Mar 04 12:14:42 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 231
[Wed Mar 04 12:14:42 2020] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\modules\sysad\models\Users_model.php, LINE: 135
[Wed Mar 04 12:14:54 2020] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
