[Thu Jun 06 10:17:16 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:00:31 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:00:34 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:00:50 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:00:50 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:00:50 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:00:50 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:00:50 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:00:53 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:00:53 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:00:53 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:00:53 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:00:53 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:09:25 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:09:25 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:09:25 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:09:25 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:09:25 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:09:28 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:09:28 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:09:28 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:09:28 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:09:28 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:09:46 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:09:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:09:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:09:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:09:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:23:52 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:23:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:23:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:23:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:23:52 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:24:00 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:24:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:24:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:24:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:24:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:35:38 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:35:38 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:35:38 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:35:38 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:35:38 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:35:41 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:35:41 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:35:41 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:35:41 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:35:41 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:46:34 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:46:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:46:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:46:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:46:34 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:52:57 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:52:57 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:52:57 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:52:57 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:52:57 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 11:53:44 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 11:53:44 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 11:53:44 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 11:53:44 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 11:53:44 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 12:06:00 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 12:06:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 12:06:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 12:06:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 12:06:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 14:04:00 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 14:04:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 14:04:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 14:04:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 14:04:00 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:04:43 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:23 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 06 14:05:23 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 06 14:05:23 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 06 14:05:23 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 06 14:05:23 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:05:46 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:06:18 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:08:20 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:10:01 2019] [ERROR] [Base_Controller->rlog_error] -> Offices for <b>Compensation</b> is required!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\User_scopes.php, LINE: 325
[Thu Jun 06 14:10:01 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:10:01 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:10:01 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
[Thu Jun 06 14:10:01 2019] [EMERGENCY] [] -> Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini., FILE: Unknown, LINE: 0
