[Tue Jun 11 08:26:51 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Tue Jun 11 08:35:17 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 08:35:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 08:35:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 08:35:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 08:36:03 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> prev_payroll_work_day_param NOT EMPTY, FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 08:36:03 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> array (
  'payroll_hdr_id' => '1',
  'month_work_days' => '21',
  'worked_days' => '7',
  'daily_rate' => '1247.23810',
), FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 08:36:03 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> bs_adj_per_day: [7] [0] [0] [] [], FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 08:37:49 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 08:37:49 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 08:37:49 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 08:37:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 08:37:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 08:37:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 09:13:16 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Tue Jun 11 09:16:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 09:16:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 09:16:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 09:16:55 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 09:16:55 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 09:16:55 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 09:19:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 09:19:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 09:19:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 09:55:25 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 09:55:25 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 09:55:25 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:26:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 10:26:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 10:26:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:26:54 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Tue Jun 11 10:36:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 10:36:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 10:36:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:36:07 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 10:36:07 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 10:36:07 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:36:46 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 10:36:46 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 10:36:46 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:37:55 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> prev_payroll_work_day_param NOT EMPTY, FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 10:37:55 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> array (
  'payroll_hdr_id' => '1',
  'month_work_days' => '21',
  'worked_days' => '7',
  'daily_rate' => '1247.23810',
), FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 10:37:55 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> bs_adj_per_day: [7] [0] [0] [] [], FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Tue Jun 11 10:38:24 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 10:38:24 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 10:38:24 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 10:43:38 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Jun 11 10:44:34 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Jun 11 10:45:47 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Jun 11 10:45:58 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Jun 11 10:47:18 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Jun 11 11:03:26 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Tue Jun 11 11:05:41 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 11:05:41 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 11:05:41 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 11:06:02 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 11:06:02 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 11:06:02 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 11:13:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 11:13:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 11:13:04 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 11:13:10 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 11:13:10 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 11:13:10 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 14:00:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 14:00:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 14:00:11 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 14:00:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 14:00:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 14:00:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 14:00:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 14:00:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Tue Jun 11 14:00:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Tue Jun 11 14:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Tue Jun 11 14:00:34 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
