[Tue Aug 29 07:34:56 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 08:17:49 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:17:49 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:18:14 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 08:18:15 2023] [ERROR] [Employee_dtr->process_add_attendance] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:18:40 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:18:40 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:18:44 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:18:44 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:18:58 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:18:58 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:31:04 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 08:31:04 2023] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:31:08 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:31:08 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:33:55 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:33:55 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:34:00 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:34:00 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:34:46 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:34:46 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:34:50 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:34:50 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:35:41 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:35:41 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:35:44 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:35:44 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:36:23 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 08:36:23 2023] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:36:31 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:36:31 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:36:46 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:36:46 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:40:47 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:40:47 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:43:03 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:43:03 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:44:13 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:44:13 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:44:15 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:44:15 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:44:34 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:44:34 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:50:04 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:50:04 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:50:30 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:50:30 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:50:56 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:50:56 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:53:27 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:53:27 2023] [ERROR] [Requests->process_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 08:56:00 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 08:56:00 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 09:01:49 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 09:01:49 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 09:34:17 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Tue Aug 29 09:34:17 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Tue Aug 29 09:34:17 2023] [ERROR] [Dashboard->get_dashboard] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Tue Aug 29 09:35:31 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:35:31 2023] [ERROR] [Pds_model->check_request] -> SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Pds.php, LINE: 281
[Tue Aug 29 09:35:31 2023] [ERROR] [Pds->display_pds_info] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Tue Aug 29 09:35:33 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:35:33 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\models\Requests_model.php, LINE: 311
[Tue Aug 29 09:35:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Tue Aug 29 09:35:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Tue Aug 29 09:35:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\models\Requests_model.php, LINE: 354
[Tue Aug 29 09:35:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:35:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Permissions_model.php, LINE: 791
[Tue Aug 29 09:35:34 2023] [ERROR] [Requests->get_requests] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Tue Aug 29 09:37:16 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Tue Aug 29 09:37:16 2023] [ERROR] [Requests->get_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 09:37:48 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Tue Aug 29 09:37:48 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Tue Aug 29 09:37:48 2023] [ERROR] [Dashboard->get_dashboard] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Tue Aug 29 09:38:51 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 09:38:51 2023] [ERROR] [Employee_dtr->process_manual_adjustment] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Tue Aug 29 09:39:34 2023] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:39:34 2023] [ERROR] [Pds_model->get_employee_info] -> SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 91
[Tue Aug 29 09:39:34 2023] [ERROR] [Employee_dtr->load_employee_dtr] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Tue Aug 29 09:42:20 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 09:42:20 2023] [ERROR] [Employee_dtr->process_manual_adjustment] -> SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: , LINE: 0
[Tue Aug 29 09:42:34 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Tue Aug 29 09:42:34 2023] [ERROR] [Employee_dtr->process_manual_adjustment] -> SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: , LINE: 0
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
[Tue Aug 29 09:47:33 2023] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[08S01]: Communication link failure: 1053 Server shutdown in progress, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 196
