[Tue Oct 09 16:54:06 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:54:06 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:54:06 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 17:00:20 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Oct 09 17:01:57 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Oct 09 17:02:12 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Oct 09 17:02:47 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Oct 09 17:03:37 2018] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\www\application\core\Base_Model.php, LINE: 436
[Tue Oct 09 17:03:37 2018] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\www\application\core\Base_Model.php, LINE: 225
[Tue Oct 09 17:03:37 2018] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\www\application\modules\main\models\Deduction_model.php, LINE: 517
