[Wed Jun 05 01:37:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 01:37:37 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 01:37:37 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 01:37:37 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 01:59:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 01:59:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 01:59:54 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 01:59:57 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 01:59:57 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 01:59:57 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 01:59:59 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 01:59:59 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 01:59:59 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 02:00:01 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 02:00:01 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 02:00:01 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 02:00:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 02:00:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 02:00:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 02:00:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 02:00:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 02:00:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 02:02:49 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> prev_payroll_work_day_param NOT EMPTY, FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Wed Jun 05 02:02:49 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> array (
  'payroll_hdr_id' => '2',
  'month_work_days' => '21',
  'worked_days' => '7',
  'daily_rate' => '1185.09524',
), FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
[Wed Jun 05 02:02:49 2019] [ERROR] [Payroll_common->_get_basic_salary_daily] -> bs_adj_per_day: [7] [0] [0] [] [], FILE: C:\xampp\htdocs\ptis\application\modules\main\controllers\Payroll_common.php, LINE: 69
